sfa_name,sfa_id,fips,county,state_name,zip,fts,fts_int,ffvp,cvendor,cpurch,ckitch,totalstudents,totalschools,poverty_status,latitude,longitude
St. Francis Solanus School,577447,55113,Sawyer County,Wisconsin,54876,1,8.554545454545455,0,1,1,1,15,1,4,45.84,-91.54
Melrose Mindoro School District,273428,55053,Jackson County,Wisconsin,54642,1,9.5,0,1,1,1,778,2,1,44.13,-90.99
Christ St. John Lutheran School,327027,55063,La Crosse County,Wisconsin,54669,1,3.5,1,1,1,1,91,1,1,43.89,-91.08
St. Kilian School,667612,55131,Washington County,Wisconsin,53027,0,0,0,1,1,1,97,1,1,43.32,-88.38
Augusta School District,180217,55035,Eau Claire County,Wisconsin,54722,1,3.2793859649122807,0,1,1,1,622,4,2,44.67,-91.12
Eagle School,527052,55103,Richland County,Wisconsin,53581,1,6.75,0,1,1,1,59,1,3,43.33,-90.38
Turtle Lake School District,35810,55005,Barron County,Wisconsin,54889,0,0,1,1,1,1,440,3,2,45.39,-92.14
St. Charles Youth & Family Services,409173,55079,Milwaukee County,Wisconsin,53218,1,6.324999999999999,1,2,3,2,20,1,4,43.11,-87.99
Eleva Strum School District,611600,55121,Trempealeau County,Wisconsin,54770,1,2.035,0,1,1,1,643,3,2,44.55,-91.38
Trinity Lutheran School,377957,55073,Marathon County,Wisconsin,54401,1,1.5,0,1,1,1,190,1,1,44.96,-89.64
Port Edwards School District,714508,55141,Wood County,Wisconsin,54469,1,4.476844444444445,0,1,1,1,444,3,2,44.35,-89.87
Beloit Turner School District,530422,55105,Rock County,Wisconsin,53511,1,1.1035000000000001,0,1,1,1,1571,4,2,42.52,-89.02
Menomonie School District,173444,55033,Dunn County,Wisconsin,54751,1,10.33469387755102,0,1,1,1,3161,7,2,44.88,-91.91
Elmbrook School District,670714,55133,Waukesha County,Wisconsin,53005,0,0,0,,,,4782,8,1,43.06,-88.11
Riverview Evangelical Lutheran School,447260,55087,Outagamie County,Wisconsin,54915,1,2,0,1,1,1,104,1,1,44.26,-88.39
Milton School District,533612,55105,Rock County,Wisconsin,53563,1,11.071428571428571,1,1,1,1,3281,7,1,42.77,-88.94
Menasha School District,703430,55139,Winnebago County,Wisconsin,54952,1,7.566666666666666,1,2,3,2,3456,8,3,44.21,-88.43
Capitol West Academy,408114,55079,Milwaukee County,Wisconsin,53222,1,1.0374999999999999,1,1,1,1,269,1,4,43.08,-88.04
St. Rose School,227879,55043,Grant County,Wisconsin,53807,1,1.5,0,2,2,1,131,1,1,42.6,-90.43
Clinton Community School District,531134,55105,Rock County,Wisconsin,53525,1,0.3416666666666666,0,1,,,1069,3,2,42.55,-88.86
Chilton School District,81085,55015,Calumet County,Wisconsin,53014,1,2,1,2,1,1,1064,3,2,44.02,-88.16
Fall Creek School District,181729,55035,Eau Claire County,Wisconsin,54742,1,1.7,0,1,1,1,858,3,1,44.76,-91.27
Roncalli High School,367269,55071,Manitowoc County,Wisconsin,54220,0,0,0,1,1,4,249,1,1,44.09,-87.67
Sheboygan Area School District,595271,55117,Sheboygan County,Wisconsin,53081,0,0,1,1,1,1,9657,26,2,43.7,-87.74
Oak Creek-Franklin School District,404018,55079,Milwaukee County,Wisconsin,53154,1,6.722222222222222,1,2,1,1,6342,10,1,42.88,-87.89
Johnson Creek School District,282730,55055,Jefferson County,Wisconsin,53038,1,12.51290322580645,0,2,2,1,750,2,1,43.07,-88.77
Bangor School District,320245,55063,La Crosse County,Wisconsin,54614,1,11.025,0,4,3,4,584,2,1,43.89,-90.99
"Hope Christian Schools, Inc.: Semper",401656,55079,Milwaukee County,Wisconsin,53216,0,0,0,4,4,4,396,1,4,43.09,-87.98
Holy Rosary School,607129,55119,Taylor County,Wisconsin,54451,1,1,0,1,1,1,106,1,1,45.13,-90.34
Onalaska School District,324095,55063,La Crosse County,Wisconsin,54650,1,11.757142857142856,0,2,2,2,3172,5,1,43.88,-91.21
Madison Metro School District,133269,55025,Dane County,Wisconsin,53718,1,8.338323706251032,1,,1,1,27308,50,3,43.09,-89.28
Royall School District,291673,55057,Juneau County,Wisconsin,53929,1,4.58,1,3,3,3,503,3,2,43.74,-90.27
Cochrane-Fountain City School District,61155,55011,Buffalo County,Wisconsin,54629,0,0,0,2,2,1,619,2,1,44.11,-91.69
"Lumin, Inc.",409862,55079,Milwaukee County,Wisconsin,53224,1,9.533333333333333,1,1,1,1,906,4,4,43.16,-88.04
St. Paul Lutheran School,587850,55115,Shawano County,Wisconsin,54107,1,1,0,1,1,1,222,1,1,44.74,-88.44
Middleton-Cross Plains School District,133549,55025,Dane County,Wisconsin,53562,1,0.5054,0,2,2,3,7192,10,1,43.1,-89.5
Maple School District,163297,55031,Douglas County,Wisconsin,54854,1,3.0296883870849585,0,2,3,2,1344,4,1,46.58,-91.72
Sacred Hearts Of Jesus Mary School,137310,55025,Dane County,Wisconsin,53590,0,0,0,1,1,1,305,1,1,43.18,-89.23
St. Luke Grade School,567631,55111,Sauk County,Wisconsin,53577,1,1,1,1,1,4,96,1,1,43.27,-90.04
Algoma School District,310070,55061,Kewaunee County,Wisconsin,54201,1,5.599,0,2,2,3,705,2,2,44.6,-87.44
Rosholt School District,494963,55097,Portage County,Wisconsin,54473,1,2.0269749835418036,0,4,2,2,529,3,1,44.63,-89.3
Blessed Savior Catholic School,401507,55079,Milwaukee County,Wisconsin,53225,0,0,1,2,2,2,532,3,4,43.12,-88.04
Colfax School District,171176,55033,Dunn County,Wisconsin,54730,0,0,0,2,3,3,817,2,2,44.99,-91.72
Transcenter For Youth/El Puente,408718,55079,Milwaukee County,Wisconsin,53215,0,0,0,,,,112,1,4,43,-87.94
Lake Holcombe School District,92891,55017,Chippewa County,Wisconsin,54745,1,2.525,0,2,1,1,321,2,2,45.25,-91.15
Three Lakes School District,435733,55085,Oneida County,Wisconsin,54562,1,7.503333333333334,0,1,1,1,509,4,2,45.79,-89.16
Holy Redeemer Christian Academy,407115,55079,Milwaukee County,Wisconsin,53209,1,5,1,1,1,1,361,1,4,43.13,-87.95
Mellen School District,23427,55003,Ashland County,Wisconsin,54546,1,2.5,0,1,1,1,276,1,2,46.32,-90.66
St. Joseph'S School,97589,55017,Chippewa County,Wisconsin,54726,1,2.533333333333333,0,3,4,1,72,1,2,44.95,-91.04
"Shining Star Christian Schools, Inc.",401704,55079,Milwaukee County,Wisconsin,53222,1,3.7193020220966195,0,1,1,1,361,2,4,43.08,-88.04
Siren School District,75376,55013,Burnett County,Wisconsin,54872,1,5,0,2,2,1,474,2,2,45.78,-92.38
St. Mary Of The Immaculate Conception Ca,447667,55087,Outagamie County,Wisconsin,54942,1,9.5,0,3,3,2,137,1,1,44.29,-88.53
